city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Amaravati,Andhra Pradesh,Andhra Pradesh,2017,11,,insufficient,17.9,,insufficient,17.9,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,17.5,,insufficient,18.1,,insufficient,17.9,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,0.0,,insufficient,12.8,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2017,12,85.8823951285521,good,99.3,143.36387009472259,good,99.3,5.384322493224932,good,99.2,39.77108254397835,good,99.3,25.378371467025573,good,99.9,14.17156862745098,good,96.0,0.15226110363391654,good,99.9,17.508143631436315,good,99.2,77.24384303112313,good,99.3,0.28378196500672953,good,99.9,4.287550471063258,good,99.9,,insufficient,0.0,0.08934819897084047,good,78.4,0.15646900269541777,good,99.7,1.134535666218035,good,99.9,149.71906630581867,good,99.3,68.1546143437077,good,99.3,29.050304465493916,good,99.3,75.85164199192464,good,99.9,0.0,good,99.9,758.8229467939973,good,98.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,1,78.15467741935484,good,100.0,137.23119623655916,good,100.0,5.468950201884253,good,99.9,41.61146505376344,good,100.0,26.577311827956986,good,100.0,14.754230235783632,good,96.9,0.06860215053763442,good,100.0,21.20532258064516,good,100.0,68.56468200270636,good,99.3,0.1954965986394558,good,98.8,5.995176630434783,good,98.9,,insufficient,0.0,0.6513990825688074,good,58.6,0.09540027137042065,good,99.1,1.0334072580645162,good,100.0,142.58423387096775,good,100.0,70.07014784946237,good,100.0,28.17913978494624,good,100.0,72.49662634408602,good,100.0,0.0,good,100.0,757.7804037685062,good,99.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,2,47.45692546583851,good,95.8,107.82097744360902,good,99.0,5.4992846270928455,good,97.8,23.31212030075188,good,99.0,16.82015037593985,good,99.0,10.90096183206107,good,97.5,0.6070756302521008,good,88.5,17.756541353383458,good,99.0,28.92674174174174,good,99.1,0.11117739403453689,good,94.8,2.8096546310832027,good,94.8,,insufficient,0.0,0.17889267461669509,good,87.4,0.1196449704142012,good,50.3,1.5711544227886058,good,99.3,143.76269865067465,good,99.3,67.17385307346328,good,99.3,27.254265367316343,good,99.3,79.69815592203898,good,99.3,0.0,good,99.3,758.5861861861862,good,99.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,3,37.879723837209305,good,92.5,79.82216885007279,good,92.3,5.95320232896652,good,92.3,16.002241630276565,good,92.3,13.396812227074237,good,92.3,10.820029197080292,good,92.1,0.7103202328966521,good,92.3,13.191601164483263,good,92.3,22.0734693877551,good,92.2,0.05412790697674418,good,92.5,2.0000581395348838,good,92.5,,insufficient,0.0,0.0945619335347432,good,89.0,,insufficient,24.9,2.072420058139535,good,92.5,142.1559011627907,good,92.5,69.11879360465116,good,92.5,28.23154796511628,good,92.5,81.66774709302327,good,92.5,0.0,good,92.5,755.3451017441861,good,92.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,4,17.213601609657946,good,69.0,48.70844621513944,good,69.7,3.7347609561752986,good,69.7,7.522270916334662,good,69.7,7.088705179282868,good,69.7,7.853608870967743,good,68.9,0.6184305835010061,good,69.0,8.314860557768926,good,69.7,19.32064,good,69.4,0.004362549800796813,good,69.7,1.0382669322709164,good,69.7,,insufficient,0.0,0.09913999999999999,good,69.4,,insufficient,1.9,2.7925597609561756,good,69.7,143.17454183266932,good,69.7,68.67258964143426,good,69.7,28.856374501992033,good,69.7,98.61932270916334,good,69.7,0.00099601593625498,good,69.7,753.433187250996,good,69.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,5,22.846408730158732,good,67.7,55.70942345924454,good,67.6,3.57,good,67.7,10.769662698412699,good,67.7,8.676607142857142,good,67.7,8.28516064257028,good,66.9,0.557752808988764,good,59.8,9.765952380952381,good,67.7,53.533095723014256,good,66.0,11.847255936675461,good,50.9,2.9245646437994726,good,50.9,,insufficient,0.0,0.4796569920844328,good,50.9,,insufficient,4.6,2.5794246031746035,good,67.7,146.88047713717694,good,67.6,68.06636904761905,good,67.7,29.757976190476192,good,67.7,103.31613095238096,good,67.7,0.060476190476190475,good,67.7,749.9517261904762,good,67.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,6,21.870703234880448,good,98.8,57.60424369747899,good,99.2,3.5867226890756303,good,99.2,11.812240896358544,good,99.2,9.249033613445377,good,99.2,6.7139718309859155,good,98.6,0.6168627450980392,good,99.2,11.170518207282914,good,99.2,59.15091851851851,good,93.8,3.05029702970297,sparse,42.1,3.0428712871287127,sparse,42.1,,insufficient,0.0,0.5173841059602649,sparse,41.9,,insufficient,3.8,2.5129761904761905,good,99.2,218.68956584659912,good,96.0,67.26022408963586,good,99.2,30.150357142857143,good,99.2,89.18971988795518,good,99.2,0.11043417366946778,good,99.2,747.3160784313725,good,99.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,7,16.100669577874818,good,92.3,48.818295454545456,good,94.6,4.724096728307255,good,94.5,12.249530583214794,good,94.5,10.410625,good,94.6,7.938856729377713,good,92.9,0.4505710102489019,good,91.8,13.732546230440967,good,94.5,36.33317280453258,good,94.9,0.23198237885462553,good,91.5,0.15859030837004406,good,91.5,,insufficient,0.0,0.11865781710914453,good,91.1,,insufficient,7.4,2.6786845827439887,good,95.0,247.0914285714286,good,95.0,72.35415841584158,good,95.0,31.489837340876942,good,95.0,69.80091937765205,good,95.0,0.0987977369165488,good,95.0,747.3290947666194,good,95.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,8,15.784140233722873,good,80.5,44.249458128078814,good,81.9,4.85810064935065,good,82.8,14.134837662337665,good,82.8,11.490372771474878,good,82.9,9.661185064935065,good,82.8,0.8357766990291262,good,83.1,17.667905844155843,good,82.8,22.98617741935484,good,83.3,0.0976451612903226,good,83.3,0.0657258064516129,good,83.3,,insufficient,0.0,0.09279483037156704,good,83.2,,insufficient,4.4,2.3987600644122384,good,83.5,252.99330112721415,good,83.5,76.58937198067633,good,83.5,30.755499194847022,good,83.5,72.68494363929146,good,83.5,0.13241545893719806,good,83.5,748.0402737520129,good,83.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,9,27.64294117647059,good,75.6,65.05465968586387,good,79.6,6.857979094076654,good,79.7,21.12928695652174,good,79.9,16.859408695652174,good,79.9,12.009650959860386,good,79.6,1.092226086956522,good,79.9,19.818295652173912,good,79.9,31.492652705061083,good,79.6,0.049739130434782605,good,79.9,0.33118260869565225,good,79.9,,insufficient,0.0,0.13835951134380453,good,79.6,,insufficient,5.3,1.6853211805555555,good,80.0,205.78428819444443,good,80.0,73.86114583333334,good,80.0,31.79513888888889,good,80.0,90.76666666666667,good,80.0,0.08447916666666666,good,80.0,752.1153298611111,good,80.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,10,46.72845041322314,good,65.1,111.41146881287726,good,66.8,7.298172690763053,good,66.9,29.495030060120243,good,67.1,21.643687374749497,good,67.1,16.582378048780487,good,66.1,1.0025050505050503,good,66.5,17.2525250501002,good,67.1,36.16348088531187,good,66.8,0.048810483870967744,good,66.7,0.1320967741935484,good,66.7,,insufficient,0.0,0.09674134419551934,good,66.0,,insufficient,8.1,1.4587724550898205,good,67.3,155.13223552894212,good,67.3,70.36518962075849,good,67.3,30.506047904191618,good,67.3,91.53411177644712,good,67.3,0.009221556886227545,good,67.3,755.6852894211576,good,67.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,11,46.80672764227642,good,68.3,104.31874251497005,good,69.6,11.929317269076304,good,69.2,57.800760000000004,good,69.4,40.443839999999994,good,69.4,16.70375502008032,good,69.2,1.0430923694779117,good,69.2,5.066839729119638,good,61.5,29.91336693548387,good,68.9,0.04107569721115538,good,69.7,0.14653386454183268,good,69.7,,insufficient,0.0,0.10779116465863453,good,69.2,,insufficient,10.7,1.454561752988048,good,69.7,129.09719123505974,good,69.7,70.7657171314741,good,69.7,28.700428286852592,good,69.7,81.61254980079681,good,69.7,0.00199203187250996,good,69.7,757.7412151394421,good,69.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2018,12,78.42015600624025,good,86.2,129.94760124610593,good,86.3,5.579938271604939,good,87.1,67.88489197530865,good,87.1,40.644490740740736,good,87.1,19.77225505443235,good,86.4,1.0755555555555554,good,87.1,15.73522950819672,good,82.0,28.17593220338983,good,87.2,0.07532307692307691,good,87.4,0.1607230769230769,good,87.4,,insufficient,0.0,0.09726429675425038,good,87.0,,insufficient,10.9,1.5041230769230771,good,87.4,133.9401846153846,good,87.4,74.61424615384614,good,87.4,27.402869230769227,good,87.4,60.47599999999999,good,87.4,0.0813076923076923,good,87.4,759.0510461538462,good,87.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2019,1,93.82264580369842,good,94.5,153.15439544807964,good,94.5,9.756212765957446,good,94.8,73.86787234042554,good,94.8,47.23438297872341,good,94.8,18.833299711815563,good,93.3,0.9266666666666666,good,94.8,15.924964131994262,good,93.7,25.06506382978724,good,94.8,0.07577903682719547,good,94.9,0.15641643059490085,good,94.9,,insufficient,0.0,0.09263157894736841,good,91.9,,insufficient,19.8,1.1950566572237962,good,94.9,157.97815864022664,good,94.9,75.32532577903683,good,94.9,25.522415014164306,good,94.9,68.15729461756375,good,94.9,0.0038810198300283285,good,94.9,760.9640226628895,good,94.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Amaravati,Andhra Pradesh,Andhra Pradesh,2019,2,52.08898050974513,good,99.3,104.2691004497751,good,99.3,9.40814417177914,good,97.0,31.120317700453857,good,98.4,24.086676737160122,good,98.5,12.095015576323988,good,95.5,0.7465861027190333,good,98.5,13.207954545454545,good,98.2,34.655872534142645,good,98.1,0.02409295352323838,good,99.3,0.06011994002998501,good,99.3,,insufficient,0.0,0.09493212669683257,good,98.7,,insufficient,6.7,1.6851724137931035,good,99.3,139.81151424287856,good,99.3,73.73263868065966,good,99.3,26.319175412293852,good,99.3,77.43212893553223,good,99.3,0.0004497751124437781,good,99.3,759.1165067466267,good,99.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
