city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2017,9,15.606493055555555,good,80.0,34.64111666666666,good,83.3,5.631116751269035,good,82.1,15.998275290215588,good,83.8,12.970364842454394,good,83.8,7.986023890784982,good,81.4,0.3102985074626866,good,83.8,14.522388059701493,good,83.8,40.97170812603649,good,83.8,0.3171144278606965,good,83.8,3.5444278606965174,good,83.8,,insufficient,0.0,0.20973305954825466,good,67.6,0.9716252072968489,good,83.8,1.1863266998341626,good,83.8,197.3060696517413,good,83.8,80.22844112769486,good,83.8,30.028640132669977,good,83.8,183.89303482587064,good,83.8,0.043847429519071314,good,83.8,749.1180099502488,good,83.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2017,10,34.09411682892907,good,96.6,68.12284327323162,good,96.9,5.615098039215686,good,96.0,17.812718446601945,good,96.9,13.973273231622745,good,96.9,10.305014367816092,good,93.5,0.39360610263522877,good,96.9,16.929486823855754,good,96.9,56.85601941747573,good,96.9,0.45095700416088763,good,96.9,3.314063800277392,good,96.9,,insufficient,0.0,0.26064935064935063,good,82.8,1.277753120665742,good,96.9,1.0105339805825244,good,96.9,156.9251040221914,good,96.9,77.70679611650485,good,96.9,30.14634535367545,good,96.9,180.4039251040222,good,96.9,0.03434119278779473,good,96.9,750.8064355062412,good,96.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2017,11,46.57501388888889,good,100.0,83.47877777777778,good,100.0,5.491729428172943,good,99.6,19.668497913769126,good,99.9,14.866930555555557,good,100.0,13.872043165467625,good,96.5,0.5898472222222222,good,100.0,21.284375,good,100.0,79.35031944444444,good,100.0,0.5022145328719724,good,80.3,2.517681660899654,good,80.3,,insufficient,0.0,6.083049001814882,good,76.5,0.9192906574394464,good,80.3,1.2554930555555557,good,100.0,133.59245833333335,good,100.0,70.65519444444445,good,100.0,30.16233333333333,good,100.0,177.47511111111112,good,100.0,0.009958333333333333,good,100.0,754.0655277777777,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2017,12,79.23795698924731,good,75.0,130.26405745062834,good,74.9,3.113009174311927,good,73.3,26.890250447227192,good,75.1,,insufficient,21.5,11.558495412844035,good,73.3,0.8220035778175313,good,75.1,22.809910554561714,good,75.1,84.33974910394265,good,75.0,0.6578284671532847,good,73.7,2.741911764705882,good,73.1,,insufficient,0.0,0.5546326530612246,good,65.9,1.0345176848874598,good,83.6,1.1178797468354431,good,84.9,154.52774597495528,good,75.1,69.17862254025046,good,75.1,28.260200964630226,good,83.6,212.81111344537814,good,64.0,0.0,good,84.9,756.9528264758497,good,75.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,1,86.48406299212598,good,85.3,142.46166929133858,good,85.3,2.4851192368839428,good,84.5,30.59850393700788,good,85.3,17.809296187683284,sparse,45.8,12.44548489666137,good,84.5,1.2301574803149609,good,85.3,34.956299212598424,good,85.3,84.20904761904762,good,81.9,0.6901102362204725,good,85.3,2.286488188976378,good,85.3,,insufficient,0.0,0.20116086235489222,good,81.0,0.9936974789915967,good,96.0,1.01781512605042,good,96.0,177.11274015748032,good,85.3,71.7024409448819,good,85.3,28.785231092436973,good,96.0,226.6925436893204,good,69.2,4.201680672268908e-05,good,96.0,756.1863937007874,good,85.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,2,56.06492537313433,good,99.7,113.5819340329835,good,99.3,4.167708333333333,good,100.0,31.497127976190477,good,100.0,20.165208333333332,good,100.0,13.12111607142857,good,100.0,1.1126785714285714,good,100.0,28.210223214285715,good,100.0,58.79758569299553,good,99.9,0.5139434523809524,good,100.0,1.829375,good,100.0,,insufficient,0.0,0.1612145748987854,good,73.5,0.7636458333333335,good,100.0,1.2977901785714285,good,100.0,174.69398809523807,good,100.0,65.03918154761905,good,100.0,27.025438988095235,good,100.0,191.80723214285712,good,100.0,0.0,good,100.0,756.8145982142858,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,3,39.043370165745856,good,97.3,79.13495867768594,good,97.6,3.6202206896551723,good,97.4,22.483553719008263,good,97.6,14.904759284731774,good,97.7,10.465997248968362,good,97.7,0.7327648114901256,good,74.9,23.44044880785414,good,95.8,54.53135546334716,good,97.2,0.22535511363636365,good,94.6,1.6898857142857144,good,94.1,,insufficient,0.0,0.6950590219224283,good,79.7,0.3380028328611898,good,94.9,1.323986111111111,good,96.8,202.00773611111111,good,96.8,70.65337969401946,good,96.6,28.700528511821975,good,96.6,194.37310152990267,good,96.6,6.87757909215956e-05,good,97.7,753.6827816411682,good,96.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,4,14.93448854961832,good,91.0,44.96010703363914,good,90.8,2.915070866141732,good,88.2,15.601307086614174,good,88.2,10.690535433070865,good,88.2,8.595352112676055,good,88.8,0.6765463108320252,good,88.5,16.76779527559055,good,88.2,44.82568147013782,good,90.7,0.1264339908952959,good,91.5,0.9505918057663126,good,91.5,,insufficient,0.0,0.08936842105263157,good,79.2,0.2201972685887709,good,91.5,1.5406525037936267,good,91.5,177.83619119878605,good,91.5,69.00220030349014,good,91.5,31.052473444613053,good,91.5,202.72769347496205,good,91.5,0.004400606980273142,good,91.5,751.5479666160851,good,91.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,5,18.607935606060607,good,71.0,47.81028089887641,good,71.8,2.5552149532710278,good,71.9,14.463925233644861,good,71.9,9.81041121495327,good,71.9,9.564635514018692,good,71.9,0.6691744840525329,good,71.6,14.324411214953273,good,71.9,51.763607476635514,good,71.9,0.14568224299065421,good,71.9,0.8983177570093458,good,71.9,,insufficient,0.0,0.09708245243128964,good,63.6,0.3067476635514019,good,71.9,1.5212616822429907,good,71.9,169.84418691588786,good,71.9,68.0356261682243,good,71.9,31.992682242990654,good,71.9,205.6059813084112,good,71.9,0.0015514018691588785,good,71.9,748.3077757009345,good,71.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,6,22.576242774566474,good,96.1,59.836005788712015,good,96.0,2.5822510822510822,good,96.2,17.846527377521618,good,96.4,11.621109510086454,good,96.4,9.364502164502163,good,96.2,0.7878530259365994,good,96.4,16.71793948126801,good,96.4,64.69802593659942,good,96.4,0.17487031700288186,good,96.4,0.9845244956772334,good,96.4,,insufficient,0.0,0.11895800933125973,good,89.3,0.46811239193083576,good,96.4,1.5855259365994236,good,96.4,197.1119020172911,good,96.4,70.90312680115274,good,96.4,32.290475504322764,good,96.4,201.6872190201729,good,96.4,0.04785302593659944,good,96.4,745.2646253602305,good,96.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,7,14.651567796610172,good,95.2,46.23188172043011,good,100.0,2.945645161290323,good,100.0,14.232849462365591,good,100.0,10.005887096774192,good,100.0,8.044412955465587,good,99.6,0.5085215053763441,good,100.0,15.552970430107527,good,100.0,43.345282258064515,good,100.0,0.0810391363022942,good,99.6,0.6277867746288799,good,99.6,,insufficient,0.0,0.10694117647058825,good,91.4,0.23983805668016195,good,99.6,1.8772580645161292,good,100.0,232.3109811827957,good,100.0,79.92700268817205,good,100.0,30.980517473118276,good,100.0,199.95885752688173,good,100.0,0.09694892473118279,good,100.0,744.9379569892474,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,8,14.64991379310345,good,93.5,44.145426573426576,good,96.1,2.851961591220851,good,98.0,12.999794238683126,good,98.0,9.245061728395061,good,98.0,10.458545953360767,good,98.0,0.902225352112676,good,95.4,14.042126200274348,good,98.0,38.6543072702332,good,98.0,0.04872427983539095,good,98.0,0.42378600823045265,good,98.0,,insufficient,0.0,0.09405925925925925,good,90.7,0.10024691358024691,good,98.0,2.01323731138546,good,98.0,252.61788751714678,good,98.0,81.92157750342936,good,98.0,29.119814814814816,good,98.0,183.03677640603567,good,98.0,0.05708791208791209,good,97.8,745.3965157750343,good,98.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,9,22.320481586402266,good,98.1,53.91824362606232,good,98.1,3.5170197740113,good,98.3,18.086666666666666,good,98.3,12.507485875706214,good,98.3,9.627652050919378,good,98.2,0.7066471449487555,good,94.9,16.27583333333333,good,98.3,43.49518361581921,good,98.3,0.10642655367231639,good,98.3,0.6899152542372882,good,98.3,,insufficient,0.0,0.11156494522691707,good,88.8,0.34826271186440677,good,98.3,1.2967796610169493,good,98.3,227.45453389830507,good,98.3,76.93292372881356,good,98.3,29.51875706214689,good,98.3,197.02624293785308,good,98.3,0.04957627118644068,good,98.3,749.9924293785311,good,98.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
Rajamahendravaram,Andhra Pradesh,Andhra Pradesh,2018,10,43.12504076086957,good,98.9,91.0482729805014,good,96.5,2.496827956989247,good,100.0,19.932795698924732,good,100.0,12.664274193548387,good,100.0,12.39063172043011,good,100.0,0.978266129032258,good,100.0,18.373817204301076,good,100.0,66.96160161507403,good,99.9,0.1432930107526882,good,100.0,0.767513440860215,good,100.0,,insufficient,0.0,0.10302439024390243,good,82.7,0.41138440860215053,good,100.0,1.2629569892473118,good,100.0,179.51494623655913,good,100.0,67.9760752688172,good,100.0,29.450174731182795,good,100.0,191.6745161290323,good,100.0,0.00456989247311828,good,100.0,753.7832795698924,good,100.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,7,2017,2023,1
