city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Meerut,Uttar Pradesh,Uttar Pradesh,2019,6,,insufficient,8.0,,insufficient,8.1,,insufficient,7.4,,insufficient,7.5,,insufficient,7.5,,insufficient,7.8,,insufficient,8.0,,insufficient,7.5,,insufficient,8.1,,insufficient,8.1,,insufficient,8.1,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,7.9,,insufficient,7.9,,insufficient,8.1,,insufficient,8.1,,insufficient,0.0,,insufficient,0.0,,insufficient,8.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,7,,insufficient,13.9,,insufficient,14.0,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,13.4,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,13.8,,insufficient,13.9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,13.9,,insufficient,0.0,,insufficient,0.0,,insufficient,13.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,8,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,9,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,insufficient,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,10,149.8500842358604,good,74.5,239.84453801169593,good,76.6,12.56504609711125,good,72.9,39.12117393976644,good,72.9,31.062108174554396,good,72.9,14.148655413271245,good,77.0,1.4053811659192825,good,69.9,52.80968647942522,good,68.6,45.55475572047001,good,72.4,1.793528379169105,good,76.6,14.713311878291398,good,76.6,3.417672413793104,sparse,41.6,2.000924932975871,sparse,33.4,0.30154131847725163,sparse,48.3,0.9181203438395417,good,78.2,172.38065902578796,good,78.2,65.63434383954154,good,78.2,26.720816618911172,good,78.2,89.11256906077348,sparse,48.7,0.0,sparse,48.7,741.4318051575931,good,78.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,11,157.85156908665104,good,98.8,262.7539474917956,good,98.8,14.645678321678322,good,99.3,53.32694786729857,good,97.7,40.569645222327345,good,97.9,15.215992255566311,good,95.6,1.4346036916395222,good,85.3,48.84078935077067,good,99.1,29.72089260808926,good,99.6,1.5369280742459397,good,99.8,12.557865429234337,good,99.8,3.0567557603686635,good,50.2,1.4427016129032257,sparse,45.9,0.2787804878048781,good,66.4,1.3911322505800463,good,99.8,153.1593596287703,good,99.8,63.51816022356776,good,99.4,23.812638051044082,good,99.8,72.69895470383275,good,66.4,0.011059233449477353,good,66.4,736.8675174013921,good,99.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2019,12,137.05831058823532,good,95.2,259.47525166191826,good,94.4,13.541161989167897,good,91.0,59.84077885952712,good,96.6,42.61735145094426,good,97.3,10.897351267459905,good,86.6,1.3675968634686346,good,97.1,70.39449976947901,good,97.2,21.97966172381835,good,96.7,1.0680508035251426,good,86.4,9.990062208398133,good,86.4,1.6825494071146243,sparse,45.3,0.8442553191489361,sparse,37.9,0.2649029535864979,good,53.1,1.2457339449541283,good,97.7,167.17916972477062,good,97.7,78.13710565848773,good,89.5,16.9078876146789,good,97.7,59.29921309192199,good,64.3,0.03075208913649025,good,64.3,737.4041009174312,good,97.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,1,109.57722831505484,good,89.9,199.93609829488463,good,89.3,7.897187017001547,good,87.0,39.093770242914985,good,88.5,26.778908450704225,good,89.1,13.774857142857144,good,89.4,1.0538267875125882,good,89.0,47.81581477732794,good,88.5,15.889280979092298,good,87.9,0.9530503597122302,good,62.3,8.580884892086331,good,62.3,0.616589928057554,sparse,31.1,1.1040472878998608,sparse,32.2,0.4229435483870968,sparse,33.3,1.1533576287657918,good,92.2,160.87645772594752,good,92.2,78.08108888888889,good,80.6,15.907211678832116,good,92.1,60.270971631205676,good,63.2,0.03278606965174129,good,63.0,741.935573372206,good,92.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,2,100.145223796034,good,84.5,194.38656410256414,good,84.1,5.105569693464431,good,82.8,30.927072612921673,good,83.8,20.500728100113765,good,84.2,13.151139747995417,good,83.6,1.2644768439108063,good,83.8,45.586904094223215,good,85.4,28.001068232662195,good,85.6,0.8810655737704918,sparse,46.7,4.234446721311475,sparse,46.7,0.34024432809773125,sparse,27.4,0.5960672268907562,sparse,28.5,0.21745689655172412,sparse,33.3,0.6699168514412418,good,86.4,166.9111529933481,good,86.4,65.27629157427937,good,86.4,19.46195676274945,good,86.4,85.42017059301381,good,59.0,0.02554833468724614,good,59.0,741.6801662971176,good,86.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,3,54.1997287522604,good,74.3,127.62515782828282,good,71.0,5.3506947100063735,good,70.3,22.06976955730746,good,73.9,15.260328638497652,good,76.3,12.005434654050857,good,75.8,1.3507452966714906,good,61.9,30.76131455399061,good,76.3,23.766417050691246,good,77.8,0.4949496221662469,sparse,35.6,1.4714609571788415,sparse,35.6,,insufficient,22.0,,insufficient,22.4,0.09661290322580644,sparse,33.3,0.6171317829457365,good,63.6,159.50505990133897,good,63.6,63.57402396053559,good,63.6,22.664210711768852,good,63.6,106.89575602629657,good,61.3,0.03170927684441198,good,61.3,741.0948414376322,good,63.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,4,54.67672250546249,good,63.6,154.03906836964688,good,61.6,3.254952305246423,good,58.2,19.676363636363636,good,56.5,11.777213967310551,good,62.3,11.009008390541572,good,60.7,1.5914142857142854,good,64.8,34.02769970414201,good,62.6,18.46,good,65.0,0.494125,sparse,33.3,0.7190833333333333,sparse,33.3,,insufficient,11.5,,insufficient,20.3,0.05397222222222222,sparse,33.3,0.6185409252669039,good,65.0,167.3213024911032,good,65.0,43.64437010676156,good,65.0,28.730263345195734,good,65.0,122.33202135231316,good,65.0,0.003202846975088968,good,65.0,741.0374234875445,good,65.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,5,57.95275071633238,good,62.5,164.05518457752257,good,54.6,3.3660492040520986,good,61.9,23.711556534508077,good,61.0,14.950650929899856,good,62.6,11.092814814814814,good,60.5,1.3851024734982333,good,63.4,36.43374370050396,good,62.2,22.68956552207428,good,63.9,0.37131720430107523,sparse,33.3,0.7733467741935484,sparse,33.3,,insufficient,11.4,,insufficient,19.7,0.061693548387096765,sparse,33.3,0.6490083798882682,good,64.2,195.86300977653633,good,64.2,46.35807960893855,good,64.2,31.802067039106145,good,64.2,129.7317318435754,good,64.2,0.042157821229050284,good,64.2,740.7637918994413,good,64.2,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
Meerut,Uttar Pradesh,Uttar Pradesh,2020,6,39.298271002710024,good,85.4,123.10070360110804,good,83.6,3.3240234167110168,good,87.0,17.563426875337292,good,85.8,11.908689397975493,good,86.9,7.030189291508924,good,85.6,0.9075422626788034,good,71.2,41.39366489361702,good,87.0,34.605373608903015,good,87.4,0.25704166666666667,sparse,33.3,0.8797083333333334,sparse,33.3,,insufficient,22.9,,insufficient,12.3,0.034458333333333334,sparse,33.3,0.5885664089950808,good,65.9,221.50023893183413,good,65.9,64.61852424455377,good,65.9,32.621145467322556,good,65.9,124.51148278285312,good,65.9,0.038475052705551654,good,65.9,740.9577793394237,good,65.9,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,3
